STATION,MAX_TMP,MIN_TMP,PRECTOT,DATE
Dipayal,26.8,24.0,50.2,2024-07-06
Dadeldhura,19.6,17.1,69.0,2024-07-06
Dhangadi,28.4,25.8,55.9,2024-07-06
Birendranagar,27.7,23.7,49.3,2024-07-06
Nepalgunj,29.2,26.0,14.3,2024-07-06
Jumla,21.4,16.8,6.2,2024-07-06
Ghorahi,25.5,22.1,213.5,2024-07-06
Pokhara,26.7,21.5,130.5,2024-07-06
Bhairahawa,30.1,26.5,42.8,2024-07-06
Simara,30.9,25.0,67.0,2024-07-06
Kathmandu,28.0,20.0,68.6,2024-07-06
Okhaldhunga,24.8,18.2,67.0,2024-07-06
Taplejung,25.5,18.2,18.7,2024-07-06
Dhankuta,27.6,20.5,12.6,2024-07-06
Biratnagar,27.7,26.5,45.3,2024-07-06
Janakpur,31.5,26.0,28.6,2024-07-06
